add,subtract,relation,in_embeddings
βάρβαρος,Ἕλλην,ethnicity,
βαρβαρικός,Ἑλληνικός,ethnicity,
βαρβαριστί,ἑλληνιστί,ethnicity,
βαρβαρίζω,ἑλληνίζω,ethnicity,
ἐχθρός,φίλος,ethnicity,
πλουτέω,πένομαι,class,
πλούσιος,πένης,class,
ἀφνειός,ἀχρήμων,class,
ἄπορος,εὔπορος,class,
εὐπορία,ἀπορία,class,
πολυχρηματία,εὐτέλεια,class,
ἐλεύθερος,δοῦλος,class,
δούλη,εὐγενίς,class,
εὐγενής,δυσγενής,class,
ἀγαθός,κακός,morality,
καλός,κακός,morality,
καλλίων,κακίων,morality,
ἐννομός,πανοῦργος,morality,
ἀγαθός,πονηρός,morality,
κάλλιστος,κάκιστος,morality,
ξένος,πολίτης,immigration,
ξένος,ἀστός,immigration,
μέτοικος,πολίτης,immigration,
μέτοικος,ἀστός,immigration,
