add;subtract;relation;in_embeddings
black;white;racial;TRUE
blacks;whites;racial;TRUE
african;european;racial;TRUE
african;caucasian;racial;TRUE
afro;anglo;racial;FALSE
advantaged;needy;affluence;FALSE
extravagant;necessitous;affluence;FALSE
flush;skint;affluence;FALSE
luxuriant;penurious;affluence;FALSE
moneyed;unmonied;affluence;FALSE
propertied;bankrupt;affluence;FALSE
prosperous;unprosperous;affluence;FALSE
sumptous;plain;affluence;FALSE
swanky;basic;affluence;FALSE
ritzy;ramshackle;affluence;FALSE
moneyed;moneyless;affluence;FALSE
rich;poor;affluence;TRUE
richer;poorer;affluence;TRUE
richest;poorest;affluence;TRUE
affluence;poverty;affluence;TRUE
affluent;destitute;affluence;TRUE
wealthy;impoverished;affluence;TRUE
costly;economical;affluence;TRUE
exorbitant;impecunious;affluence;TRUE
expensive;inexpensive;affluence;TRUE
exquisite;ruined;affluence;TRUE
invaluable;cheap;affluence;TRUE
lavish;economical;affluence;TRUE
luxurious;threadbare;affluence;TRUE
luxury;cheap;affluence;TRUE
opulent;indigent;affluence;TRUE
plush;threadbare;affluence;TRUE
precious;cheap;affluence;TRUE
priceless;worthless;affluence;TRUE
privileged;underprivileged;affluence;TRUE
developed;underdeveloped;affluence;TRUE
solvency;insolvency;affluence;TRUE
successful;unsuccessful;affluence;TRUE
thriving;disadvantaged;affluence;TRUE
upscale;squalid;affluence;TRUE
valuable;valueless;affluence;TRUE
classy;beggarly;affluence;TRUE
opulence;indigence;affluence;TRUE
solvent;insolvent;affluence;TRUE
rich;penniless;affluence;TRUE
affluence;penury;affluence;TRUE
posh;plain;affluence;TRUE
opulence;indigence;affluence;TRUE
chaste;transgressive;morality;FALSE
uncorrupt;corrupt;morality;FALSE
chivalrous;knavish;morality;FALSE
good;evil;morality;TRUE
moral;immoral;morality;TRUE
good;bad;morality;TRUE
honest;dishonest;morality;TRUE
virtuous;sinful;morality;TRUE
virtue;vice;morality;TRUE
righteous;wicked;morality;TRUE
principled;unprincipled;morality;TRUE
unquestionable;questionable;morality;TRUE
noble;nefarious;morality;TRUE
scrupulous;unscrupulous;morality;TRUE
altruistic;selfish;morality;TRUE
honest;crooked;morality;TRUE
commendable;reprehensible;morality;TRUE
pure;impure;morality;TRUE
dignified;undignified;morality;TRUE
holy;unholy;morality;TRUE
valiant;fiendish;morality;TRUE
upstanding;villainous;morality;TRUE
guiltless;guilty;morality;TRUE
decent;indecent;morality;TRUE
chaste;unsavory;morality;TRUE
righteous;odious;morality;TRUE
ethical;unethical;morality;TRUE
immigrants;citizens;immigration;TRUE
immigration;citizenship;immigration;TRUE
immigrant;citizen;immigration;TRUE
foreign;domestic;immigration;TRUE
foreigner;native;immigration;TRUE
outsider;insider;immigration;TRUE
stranger;local;immigration;TRUE
alien;resident;immigration;TRUE
foreigner;resident;immigration;TRUE
alien;native;immigration;TRUE
immigrant;local;immigration;TRUE
foreign;familiar;immigration;TRUE
